Timestamp,Gender,Age_Group,Education_Level,Employment_Status,Ward,MP_Performance_Rating,MP_Represents_Interests_Effectively,MP_Should_Be_Reelected,Supported_Political_Party,Trusted_Political_Leader,Preferred_Candidate_If_Election_Today,President_Ruto_Performance_Rating,Country_Heading_Right_Direction,Top_Voting_Issues,Important_MP_Qualities
2025-10-24T02:36:00,Female,55+,College,Self-Employed,Kiganjo,Poor,Yes,No,Jubilee,Kalonzo Musyoka,Njinji Murigi,Good,Yes,"Roads & Infrastructure, Security","Education Level, Development Record"
2025-10-24T03:02:00,Female,25-34,Secondary,Employed,Ndarugu,Excellent,No,No,Jubilee,William Ruto,Kungu Kibathi,Excellent,Yes,"Water, Roads & Infrastructure, Jobs & Youth Empowerment",Accessibility
2025-10-25T19:19:00,Female,18-24,Secondary,Self-Employed,Kiganjo,Very Poor,Undecided,Undecided,Chama Cha Kazi,Fred Matiangi,Undecided,Excellent,Yes,"Security, Education, Water","Accessibility, Honesty, Development Record"
2025-10-25T08:46:00,Male,25-34,College,Self-Employed,Ngenda,Fair,Undecided,Undecided,Democratic Congress Party,William Ruto,Kungu Kibathi,Good,Yes,"Agriculture/Farming, Healthcare, Security",Honesty
2025-10-25T17:37:00,Female,45-54,Primary,Student,Kahuguini,Very Poor,Yes,No,UDA,Undecided/None,Undecided,Good,Unsure,"Roads & Infrastructure, Water","Party Affiliation, Education Level"
2025-10-25T19:15:00,Male,45-54,Primary,Self-Employed,Ndarugu,Poor,No,Yes,Chama Cha Kazi,William Ruto,Kungu Kibathi,Excellent,No,"Education, Roads & Infrastructure, Healthcare",Honesty
2025-10-25T07:52:00,Male,45-54,Secondary,Self-Employed,Gathugu,Poor,Undecided,Undecided,Jubilee,Kalonzo Musyoka,Kungu Kibathi,Very Poor,Yes,"Water, Jobs & Youth Empowerment, Roads & Infrastructure, Security",Development Record
2025-10-25T06:00:00,Female,25-34,Postgraduate,Student,Gathugu,Very Poor,Yes,Yes,Chama Cha Kazi,Kalonzo Musyoka,Undecided,Excellent,Yes,"Education, Security, Roads & Infrastructure",Education Level
2025-10-25T06:34:00,Male,55+,Postgraduate,Student,Kahuguini,Good,No,No,UDA,Rigathi Gachagua,Moses Kuria,Excellent,Unsure,"Security, Roads & Infrastructure, Agriculture/Farming",Honesty
2025-10-25T21:18:00,Female,45-54,College,Student,Kiganjo,Good,Undecided,Yes,Democratic Congress Party,Kalonzo Musyoka,Undecided,Good,No,"Water, Jobs & Youth Empowerment, Security",Development Record
2025-10-25T22:32:00,Male,18-24,Postgraduate,Unemployed,Ndarugu,Very Poor,Yes,Yes,Chama Cha Kazi,Fred Matiangi,Kungu Kibathi,Good,Unsure,"Roads & Infrastructure, Water, Healthcare",Development Record
2025-10-25T15:30:00,Female,45-54,Postgraduate,Self-Employed,Gathugu,Fair,No,Undecided,Jubilee,William Ruto,Kungu Kibathi,Poor,No,"Jobs & Youth Empowerment, Security, Agriculture/Farming, Healthcare","Education Level, Development Record"
